id,省市代碼,縣市代碼,鄉鎮市區代碼,投開票所,選舉人數
5155,10,14,120,209,493
5156,10,14,120,210,604
5157,10,14,120,211,932
5158,10,14,120,212,720
5159,10,14,120,213,263
5160,10,14,120,214,272
5161,10,14,130,215,988
5162,10,14,130,216,405
5163,10,14,130,217,302
5164,10,14,130,218,589
5165,10,14,130,219,569
5166,10,14,140,220,635
5167,10,14,140,221,572
5168,10,14,140,222,592
5169,10,14,140,223,535
5170,10,14,140,224,316
5171,10,14,140,225,333
5172,10,14,150,226,233
5173,10,14,150,227,318
5174,10,14,150,228,293
5175,10,14,150,229,329
5176,10,14,150,230,356
5177,10,14,150,231,577
5178,10,14,150,232,835
5179,10,14,160,233,959
5180,10,14,160,234,1269
5181,10,14,160,235,1301
5182,10,14,160,236,777
